Movie Name,Genre,Ratings,Voting Counts,Duration
Kraven the Hunter,Action,5.4,44K,127
Gladiator II,Action,6.6,216K,148
Sonic the Hedgehog 3,Action,6.9,52K,110
Venom: The Last Dance,Action,6.0,107K,110
Dune: Part Two,Action,8.5,612K,166
Pushpa: The Rule - Part 2,Action,6.1,54K,201
Elevation,Action,5.6,19K,91
The Lord of the Rings: The War of the Rohirrim,Action,6.3,28K,134
The Ministry of Ungentlemanly Warfare,Action,6.8,132K,122
Furiosa: A Mad Max Saga,Action,7.5,280K,148
Deadpool & Wolverine,Action,7.6,479K,128
Borderlands,Action,4.7,45K,101
Hellboy: The Crooked Man,Action,4.5,12K,99
Twisters,Action,6.5,160K,122
Civil War,Action,7.0,232K,109
The Count of Monte-Cristo,Action,7.6,32K,178
The Beekeeper,Action,6.3,153K,105
Carry-On,Action,6.5,159K,119
Marco,Action,6.9,20K,145
The Fall Guy,Action,6.8,216K,126
Rebel Ridge,Action,6.8,86K,131
The Crow,Action,4.7,32K,111
Thelma,Action,7.0,21K,98
Kingdom of the Planet of the Apes,Action,6.9,149K,145
Road House,Action,6.2,166K,121
Red One,Action,6.3,137K,123
Transformers One,Action,7.6,47K,104
Bad Boys: Ride or Die,Action,6.5,98K,115
Love Lies Bleeding,Action,6.6,56K,104
Damsel,Action,6.1,108K,110
Land of Bad,Action,6.6,50K,113
The Killer's Game,Action,5.7,16K,104
Argylle,Action,5.6,91K,139
Madame Web,Action,4.0,99K,116
Godzilla x Kong: The New Empire,Action,6.1,119K,115
The Union,Action,5.4,52K,107
Monkey Man,Action,6.8,90K,121
Azrael,Action,5.4,10K,86
Freaky Tales,Action,6.4,364,106
Attack on Titan the Movie: The Last Attack,Action,9.3,14K,145
Drive-Away Dolls,Action,5.4,23K,84
Werewolves,Action,4.4,6K,93
Uglies,Action,4.7,32K,100
Kung Fu Panda 4,Action,6.3,67K,94
Arcadian,Action,5.5,22K,92
Blitz,Action,6.2,16K,120
The Instigators,Action,6.2,37K,101
Lift,Action,5.5,49K,107
Beverly Hills Cop: Axel F,Action,6.4,80K,118
The Killer,Action,5.7,12K,126
Hitpig,Action,5.1,829,86
Apocalypse Z: The Beginning of the End,Action,6.1,19K,117
The Silent Hour,Action,6.1,7K,99
Maharaja,Action,8.4,65K,141
Brothers,Action,5.4,13K,89
Atlas,Action,5.6,55K,118
Canary Black,Action,5.4,11K,101
Baby John,Action,5.4,17K,159
Long Gone Heroes,Action,5.2,968,101
Rebel Moon - Part Two: The Scargiver,Action,5.3,59K,122
Hagen,Action,6.1,1K,139
Jackpot!,Action,5.8,30K,106
Under Paris,Action,5.2,36K,104
Trigger Warning,Action,4.6,19K,106
Agents,Action,3.7,889,82
Aavesham,Action,7.8,27K,155
Jacob Tyler,Action,4.8,44,133
No Way Up,Action,4.6,10K,90
Agent Recon,Action,2.4,658,85
11 Rebels,Action,6.2,260,155
Sunray: Fallen Soldier,Action,4.3,583,115
Singham Again,Action,4.8,75K,144
Amaran,Action,8.2,18K,167
Role Play,Action,5.5,19K,100
Echo 8,Action,4.0,169,96
Rifle Club,Action,7.0,4K,113
Dark Match,Action,5.5,830,94
Code 8: Part II,Action,5.7,16K,100
My Spy: The Eternal City,Action,5.7,11K,112
Harbin,Action,6.5,485,108
Badland Hunters,Action,5.9,12K,107
Sikandar Ka Muqaddar,Action,6.0,24K,142
The Lost Tiger,Action,7.8,34,90
Joe Baby,Action,8.2,26,86
The Roundup: Punishment,Action,6.6,5K,109
Arena Wars,Action,5.0,2K,96
Mafia Wars,Action,3.4,212,94
Raayan,Action,6.5,11K,145
Article 370,Action,7.8,24K,158
Devara Part 1,Action,6.0,20K,176
The Wages of Fear,Action,4.6,4K,104
The Quiet Ones,Action,6.5,522,110
Khadaan,Action,7.4,2K,137
Operation Blood Hunt,Action,3.4,455,93
Rats!,Action,8.0,77,85
Jigra,Action,6.0,23K,153
Bougainvillea,Action,6.4,3K,138
Cloud,Action,6.3,895,123
Utopia,Action,3.6,340,91
Everybody Loves Jenifa,Action,8.4,78,135
Sucha Soorma,Action,6.5,908,136
WWII: Operation Phoenix,Action,6.6,63,106
Anaconda,Action,4.9,601,84
My Fathers' Daughter,Action,6.6,71,78
Hanu Man,Action,7.7,29K,158
Fight Another Day,Action,5.1,326,97
Terminator: Skynet Rising,Action,6.8,258,88
The Greatest of All Time,Action,5.7,22K,183
Alien: Rubicon,Action,2.4,329,86
Zero,Action,6.1,38,88
Outlaw,Action,5.2,902,82
Viduthalai Part 2,Action,8.0,15K,170
Revolver,Action,5.4,819,114
Snow White and the Seven Samurai,Action,3.2,263,88
The Ballad of Davy Crockett,Action,4.6,245,96
The Hangman,Action,3.3,986,92
Savi,Action,6.2,35K,126
Agni,Action,7.3,15K,122
Spiders on a Plane,Action,5.7,360,78
"Love, Courage and the Battle of Bushy Run",Action,5.0,173,113
A Legend,Action,4.7,855,129
Kanguva,Action,4.5,14K,152
Baby Invasion,Action,5.8,63,80
Handsome Guys,Action,6.5,751,101
72 Hours,Action,4.1,280,87
Cells at Work!,Action,6.8,168,109
The Slave and the Sorcerer,Action,6.7,37,86
Chandu Champion,Action,7.8,34K,142
The Last Front,Action,5.5,599,98
London Calling,Action,7.5,17,109
The Lockdown,Action,4.3,595,117
Vettaiyan,Action,7.0,39K,163
Cassino in Ischia,Action,4.4,229,113
40 Acres,Action,6.5,101,113
Overlord: The Sacred Kingdom,Action,7.0,699,135
Roadkill,Action,3.6,672,90
Crosspoint,Action,7.3,26,100
Don't Mess with Grandma,Action,6.1,144,81
Invasion,Action,4.8,664,91
Get Fast,Action,3.6,435,88
Big Rage,Action,3.6,153,115
12 to Midnight,Action,3.6,275,96
War of the Worlds: Extinction,Action,3.0,177,84
Cesium Fallout,Action,6.7,407,136
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,Action,8.2,651,174
The Last Ronin,Action,4.9,225,121
12 Gaun,Action,6.3,862,147
Continental Split,Action,3.5,533,88
Black Heat,Action,8.9,73,93
Devil's Knight,Action,5.4,777,90
High Forces,Action,5.8,504,119
School of Magical Animals 3,Action,5.9,297,105
The Last of Us: Immunity,Action,6.3,13,64
Escape from the 21st Century,Action,6.5,811,98
Taken from Rio Bravo,Action,3.0,307,80
Diabel,Action,5.1,200,108
Art of Eight Limbs,Action,4.0,304,101
Eye for an Eye 2,Action,6.5,482,90
The Charisma Killers,Action,6.1,641,101
Pimpinero: Blood and Oil,Action,5.6,537,121
Ryan's World the Movie: Titan Universe Adventure,Action,1.8,641,80
Je Jatt Vigarh Gya,Action,5.7,815,132
Blade of Fury,Action,6.1,112,90
Ka Whawhai Tonu,Action,7.4,169,115
The Friendly,Action,8.1,15,101
Dange,Action,5.4,786,154
The Firefighters,Action,5.8,149,106
Hunting with Tigers,Action,5.6,506,109
Paradise,Action,6.9,77,83
Deaner '89,Action,5.9,414,90
Hellhound,Action,4.3,489,103
Bloodline,Action,9.2,46,80
Auron Mein Kahan Dum Tha,Action,6.6,40K,150
Shark Warning,Action,3.4,247,94
Jathara,Action,6.4,1K,129
Nothing Even Matters,Action,5.5,72,90
Snatched,Action,4.9,207,101
No Time to Spy: A Loud House Movie,Action,6.4,435,81
Memes & Nightmares,Action,5.7,76,81
Operation Undead,Action,4.6,354,110
Fyre Rises,Action,6.5,321,110
Witch Hunter,Action,5.2,21,80
Bureau 749,Action,4.1,502,123
Martin,Action,2.3,36K,147
Rajakili,Action,8.1,550,122
Crisis Negotiators,Action,6.7,691,120
Baby Assassins: Nice Days,Action,7.3,268,103
Bangkok Dog,Action,6.3,95,85
The Actor,Action,3.3,722,128
Mummy Shark,Action,2.0,168,66
Orang Ikan,Action,6.5,31,83
Customs Frontline,Action,5.4,461,115
Rogue Elements: A Ryan Drake Story,Action,4.9,914,44
The Kingdom,Action,7.9,85,133
Lady Scorpions,Action,3.6,361,101
Ballistic,Action,2.3,161,95
(Pri)sons,Action,5.1,251,100
Xiong Shi Shao Nian 2,Action,7.5,184,134
Rendel: Cycle of Revenge,Action,3.6,242,99
Mobile Suit Gundam SEED Freedom,Action,6.6,923,124
Gandhi 3,Action,5.5,231,143
Conquer: Lahad Datu,Action,6.7,495,120
Raqa,Action,6.5,58,107
Clone Cops,Action,8.1,185,96
Reloaded 2,Action,8.0,1K,45
Barroz: Guardian of Treasures,Action,3.5,943,155
Kuang Bao Ju Xi,Action,6.1,68,75
Abudeka Is Back,Action,5.3,29,120
Rode College,Action,6.6,421,168
Buddy,Action,3.8,340,137
Kahar: Kapla High Council,Action,7.0,442,102
Bangkok Breaking: Heaven and Hell,Action,5.8,652,146
Kamen Rider 555 20th: Paradise Regained,Action,5.9,141,65
Bonus Trip,Action,4.5,217,113
Stranded Pearl,Action,6.0,27,90
Exorcism Chronicles: The Beginning,Action,7.0,66,85
Ghosts of Red Ridge,Action,3.3,145,81
Desperado,Action,5.9,139,100
Drive,Action,5.7,312,90
The Mick and the Trick,Action,5.0,75,96
Love You to Debt,Action,6.2,747,135
Kill Craft,Action,2.3,361,99
Anchakkallakokkan,Action,6.6,1K,126
The Miranda Brothers,Action,4.4,187,99
Prepare to Die,Action,4.6,228,93
Naam,Action,6.4,274,136
Sayen: The Huntress,Action,4.4,252,88
Neon Fear,Action,6.1,387,40
Ship of the Damned,Action,2.8,293,88
Rang De Basanti,Action,8.8,144,174
The Infallibles,Action,4.8,745,99
Oru Anveshanathinte Thudakkam,Action,7.1,830,181
Spirit Riser,Action,6.7,33,98
Camp Blood: Clown Shark,Action,3.3,82,70
Bhaje Vaayu Vegam,Action,6.1,544,136
Kung Fu Games,Action,3.3,373,98
Hrashwo Deergha,Action,7.9,79,150
Troubleshooters,Action,6.7,401,110
Sasan,Action,8.5,63,155
Bidurbhai,Action,9.2,375,148
Samandar,Action,7.6,136,172
Sentimentaaal,Action,5.8,971,135
The Grey Men,Action,6.5,69,97
Losing Lerato 2,Action,9.1,31,96
Mother Mafia,Action,3.3,47,80
Ghost Killer,Action,7.2,58,105
They Call Her Death,Action,6.2,23,92
Pusaka,Action,6.4,31,90
Yuva,Action,5.8,834,153
Angel of the Warrior,Action,8.5,132,90
Breaking and Re-entering,Action,5.8,433,109
Cholo Zombies,Action,4.7,101,96
Taklee Genesis x Worlds Collide,Action,5.5,382,146
Hunt the Wicked,Action,5.3,106,102
Buying Time,Action,7.0,259,84
The Burden of Nine Lives,Action,4.8,100,116
The Circuit 4: Faith Fighter,Action,4.4,87,90
The Traveller,Action,5.2,201,134
Six jours,Action,6.3,96,95
Bull Shark 2,Action,2.9,151,75
Where Is Gilgamesh?,Action,9.0,603,90
Matka,Action,4.7,572,156
Mazhai Pidikatha Manithan,Action,4.5,416,133
The Bouncer,Action,4.2,81,78
Touchdown,Action,6.8,13,78
Gold Raiders,Action,2.0,179,88
September Babies,Action,6.2,283,94
Alien Country,Action,4.4,349,96
Bad Boyz,Action,4.6,605,150
The Alexandrian,Action,3.9,249,104
Nu Huo 12 Xiao Shi,Action,6.0,45,86
American Underdog,Action,8.8,23,89
First Nights at Freddy's,Action,9.3,14,98
Gone with the Dead,Action,4.9,41,96
Bhairadevi,Action,8.8,43,134
Citizen of a Kind,Action,6.7,773,114
Texas Twister,Action,2.5,157,88
Appudo Ippudo Eppudo,Action,4.7,227,120
Kiyma: Orman Kanunlari,Action,4.3,34,81
Thiragabadara Saami,Action,6.5,95,115
Tòkunbò,Action,3.9,289,113
Dragon Ball Z Kai,Action,8.4,65,82
Kizumonogatari: Koyomi Vamp,Action,6.9,79,144
Election,Action,5.9,807,120
The Desperate Chase,Action,5.5,51,110
Joachim and the Apocalypse,Action,7.2,12,90
Ajay Gadu,Action,7.3,1K,108
Correr para Vivir,Action,7.0,193,97
The Evil Three,Action,7.1,854,30
Sous écrous,Action,5.3,33,111
The Plot,Action,4.8,361,100
The Last Chainsaw Massacre,Action,4.0,38,75
Checkmate,Action,4.3,380,104
In Tenebras: Into the Darkness,Action,3.2,171,90
Artist Unknown,Action,9.2,11,82
Guy Manley: Super Spy,Action,4.5,115,92
24 Hours to D-Day,Action,4.8,34,83
The Moon Thieves,Action,6.2,223,108
Stuntman,Action,7.0,134,114
Hit List,Action,5.5,309,125
Dirty Money,Action,5.7,107,100
Por,Action,5.0,607,154
Virunnu,Action,7.9,875,125
Dünya Mali: Eksi Bir,Action,6.8,16,133
Sikaar,Action,8.3,675,150
Neo-Dome,Action,6.6,16,15
Türkler Çildirmis Olmali 2: Mavi Vatan,Action,2.2,153,100
Permafrost,Action,5.7,112,80
Polar,Action,4.4,28,76
Death Game,Action,6.3,24,88
Dark Fusion,Action,8.5,233,90
Go for Broke,Action,5.7,267,115
Saint Young Men: Holy Men vs Demon Army,Action,3.0,13,93
Mutant,Action,4.5,58,90
Tariq,Action,6.9,15,122
Anunnakiler,Action,2.6,428,76
Deadzone,Action,4.2,34,80
Young Lion of the West,Action,8.1,106,93
Komandir,Action,6.3,513,131
Dangerous Boys 2,Action,5.7,8,115
Kondal,Action,5.4,762,147
Honeko Akabane's Bodyguards,Action,5.9,35,117
UmroAyyar - A New Beginning,Action,6.9,669,135
Mahadev Ka Gorakhpur,Action,7.8,367,131
Naag Bhoomi,Action,5.7,7,130
Iddaru,Action,9.1,295,148
The Epidemic,Action,5.8,69,95
Chasing Raine,Action,2.3,186,101
Ameena,Action,6.3,18,107
Bonnie,Action,7.4,32,120
Joshua: Imai Pol Kaka,Action,4.5,583,130
Black Storm,Action,6.6,65,97
Star Abyss,Action,3.8,241,86
Shark Island,Action,4.0,114,81
Next to Us,Action,4.9,220,125
Die Chaosschwestern und Pinguin Paul,Action,5.7,66,100
The Wild Blade of Strangers,Action,6.6,106,102
The Experts,Action,6.2,259,121
Breaking Tradition,Action,7.3,21,87
The Omicron Killer,Action,2.9,594,98
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,Action,7.0,26,71
London Gangsters,Action,4.3,11,104
6 Hours Away,Action,3.9,240,93
Mongol,Action,8.7,89,155
South Side Hero,Action,5.6,35,92
Formed Police Unit,Action,4.6,472,120
Yakuza Girl,Action,2.3,65,82
Chaari 111,Action,4.8,255,130
Surrender,Action,7.8,15,149
Warning 2,Action,7.1,879,125
The Drunken Prodigy,Action,5.6,13,107
Fuuto PI: Portrait of Kamen Rider Skull,Action,7.5,30,82
The Captives,Action,3.5,65,73
Kamen Rider Gotchard: The Future Daybreak,Action,8.0,66,63
Inkabi,Action,4.7,77,101
Iron Fighter,Action,3.6,59,80
Lisabi: The Uprising,Action,6.4,121,107
Jorge da Capadócia,Action,6.4,128,119
Hell City,Action,9.1,26,90
Gam Gam Ganesha,Action,5.3,307,140
Onsen shâku,Action,6.4,9,70
Brattt,Action,4.7,66,117
Rocky and Bullwinkle,Action,9.7,11,100
The Vampire and the Vigilante,Action,3.8,47,75
What Happens in Miami,Action,4.3,218,90
Lie Zhan,Action,6.9,66,93
Shu Si Yi Bo,Action,6.6,32,91
Bheema,Action,5.8,947,148
Hain,Action,2.9,45,95
Shekko,Action,6.0,533,120
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,Action,6.8,14,90
Karma,Action,4.5,17,111
Viswam,Action,4.3,628,155
Marni: The Story of Wewe Gombel,Action,5.9,199,119
GATAO: Like Father Like Son,Action,6.8,65,100
Thankamani,Action,4.6,229,156
Runner,Action,5.7,46,90
Harom Hara,Action,7.7,3K,154
Sacrum Vindictae II,Action,4.8,12,114
Hiranya,Action,5.9,14,138
Gangs of Godavari,Action,5.0,899,165
"Silex and the City, le film",Action,4.9,47,77
Appu,Action,8.6,181,92
Heavens: The Boy and His Robot,Action,6.3,21,98
Hide and Seek,Action,8.2,54,130
The Worlds Divide,Action,8.0,36,120
Dr. Jason II - Lights & Shadows,Action,5.3,284,62
Uninvited,Action,6.7,70,93
Kill the Children first,Action,7.8,25,106
The Heist,Action,6.9,2K,120
Surge of Power: Where There's Smoke,Action,7.3,12,68
Mega Twister,Action,2.5,49,75
The Escapee 3: The Final Escape,Action,2.7,63,83
Itutumba ka ng tatay ko,Action,5.7,29,109
Killer Ex,Action,3.9,52,94
Rebel,Action,3.2,64,100
Genis Aile 4: Cevahir & Ulvi,Action,6.9,53,90
Love You as the World Ends Final,Action,6.5,36,115
Agastya - Chapter 1,Action,6.9,591,168
Ultraman Blazar the Movie: Tokyo Kaiju Showdown,Action,7.5,80,75
Cândido,Action,6.3,58,99
Midas,Action,4.6,332,85
The Day Everything Changed,Action,7.9,77,97
Sunfall,Action,2.5,23,74
Kali,Action,5.1,408,96
Malayalee from India,Action,5.6,5K,160
Pariah Volume 1: Every Street Dog Has a Name,Action,6.9,383,138
Yao Shen Ling,Action,6.7,66,93
Ame no naka no yokujô,Action,6.0,66,132
Rock 'n' Roll Ringo,Action,6.4,52,101
Fights Break Sphere 3,Action,4.7,8,81
Kamen Rider Geats: Jyamato Awaking,Action,7.9,69,54
Aho Vikramaarka,Action,7.4,53,136
Second Life,Action,6.9,42,105
Gravediggers,Action,6.6,26,91
Zénithal,Action,5.3,70,80
The Very Last Christmas,Action,8.5,11,75
Thundu,Action,5.0,901,125
Hitler,Action,5.2,302,128
The Bodyguard,Action,6.6,27,87
Panjab Files,Action,7.9,17,117
Red vs. Blue: Restoration,Action,5.6,135,85
Vorovka,Action,4.9,48,90
Marine Drive,Action,9.5,49,105
Holy Punch,Action,5.2,37,98
Telekinesis,Action,5.9,59,106
Charlotte Link - Ohne Schuld,Action,5.5,41,89
Kade,Action,6.5,15,92
Jigar,Action,7.1,18,122
Chinatown Chacha,Action,5.1,55,103
Roxana,Action,4.0,64,98
Max Beyond,Action,6.6,17,93
Mirg,Action,6.3,35,83
Speed 220,Action,6.8,1K,114
Achilles Curse and the Curse of Treasure,Action,7.4,24,125
Athhoi,Action,8.0,133,158
Krishnamma,Action,6.2,362,138
Hakkenden,Action,5.8,71,149
Halloween: Mal Eterno,Action,8.3,223,50
Purushothamudu,Action,7.7,12,120
Tokusou Sentai Dekaranger 20th: Fireball Booster,Action,7.1,29,50
Tales Beyond the Galaxy,Action,5.5,146,76
The Mystery of Humanoid Puppet,Action,6.7,60,88
Dhaaak,Action,8.6,24,128
Blood Vendetta,Action,7.7,234,90
Dead Hand,Action,4.1,75,92
The Yoshi Movie,Action,7.7,12,105
Faster: Only one lap,Action,7.1,23,90
The Correct Way of Youth,Action,9.3,779,90
Pushpaka Vimanam,Action,5.6,16,137
Too Little Too Late,Action,5.5,8,66
Kreem,Action,6.8,128,115
Gull Lake Vice II: The Delusion Continues,Action,8.2,16,58
Dark World,Action,4.5,14,135
Emanet,Action,7.7,29,97
Zoloto Umalty,Action,5.0,101,109
Shri Swapankumarer Badami Hyenar Kobole,Action,5.6,323,146
Supplier Shankara,Action,9.3,70,163
The Journey of Flower,Action,3.9,25,97
Villain - Life of a Gangster,Action,8.9,156,141
Jurassic Exorcist,Action,3.9,20,76
Pithala Maathi,Action,7.8,848,140
Mr. Natwarlal,Action,7.6,778,130
Ohsama Sentai King-Ohger vs. Donbrothers,Action,6.8,36,26
Cholay,Action,8.6,53,60
Agent 86,Action,6.7,6,87
Shadows of Betrayal: Chronicles of Ian Blair,Action,7.3,12,65
Mobile Suit Gundam: Silver Phantom,Action,6.1,13,90
Crypto Storm,Action,4.7,31,101
Hope & Glory,Action,6.6,142,44
Shockwaves 2,Action,2.8,146,79
Di Renjie: Tongtian xuan an,Action,7.2,15,85
Operation Wakaliga: Fate and Blood,Action,6.7,11,66
Played,Action,6.2,11,96
Useful Idiots,Action,7.8,13,92
Serra das Almas,Action,6.3,10,120
Common Creed: Trafficking,Action,6.7,8,106
Break War,Action,2.4,14,86
Warrior Awang and Master Tok Gajah,Action,4.6,473,118
"Bullets, Brothers and Blood",Action,7.8,13,85
Babu,Action,7.7,179,142
Nothing Unusual,Action,9.7,12,92
Inherited,Action,9.5,21,76
DNA,Action,5.2,209,156
Hocus Focus,Action,7.9,19,85
Rooban,Action,6.5,281,125
Pungut,Action,6.7,11,100
Inexternal,Action,3.2,19,83
Oversteer,Action,4.7,17,86
Mirza: Part 1 - Joker,Action,6.8,236,165
Soodhu Kavvum 2: Naatum Naatu Makkalum,Action,3.7,196,129
Sathyam,Action,7.1,8,134
Opportunity,Action,9.1,89,96
Sith Wars: Episódio III - Fantasmas Dos Sith,Action,8.6,113,99
Xiao zi,Action,3.5,12,101
Re Xue Ran Shao,Action,4.2,17,113
Seven Heroes Beat the Monster,Action,6.8,51,89
Reeza GTR,Action,7.4,14,91
La Tamalera,Action,8.2,9,115
Zhi Bao,Action,5.7,17,100
Me and the Dragon's Daughter,Action,5.2,10,75
Bloody Escape,Action,6.1,25,100
Abnormal: Buas,Action,5.6,27,90
Ugravatara,Action,7.9,551,122
Yentha Panichesav Chanti,Action,9.5,85,135
Jimmy's Friends,Action,7.0,10,94
Operation Star,Action,7.6,23,102
Kadakan,Action,4.0,112,128
Give Me Babies,Action,6.7,6,23
Joy Hanu Man,Action,8.9,25,143
E-mail,Action,5.4,805,119
Firework,Action,6.6,11,60
The Deal,Action,8.8,25,130
Skhvatka,Action,5.0,23,107
The SML YTP Movie 2: Dimension Trouble,Action,8.3,13,94
Bullet,Action,9.1,568,131
Seetha Kalyana Vaibhogame,Action,8.6,2K,146
Vi possiamo salvare,Action,2.7,102,89
